"filename", "language", "Dart", "comment", "blank", "total"
"c:\flutter-projects\cashenya_app\lib\app_router.dart", "Dart", 19, 0, 2, 21
"c:\flutter-projects\cashenya_app\lib\data\models\expense.dart", "Dart", 37, 8, 9, 54
"c:\flutter-projects\cashenya_app\lib\data\repository\expenses\expenses.dart", "Dart", 0, 82, 5, 87
"c:\flutter-projects\cashenya_app\lib\data\repository\expenses\expenses_repository.dart", "Dart", 41, 5, 9, 55
"c:\flutter-projects\cashenya_app\lib\dependencies.dart", "Dart", 12, 0, 3, 15
"c:\flutter-projects\cashenya_app\lib\firebase_options.dart", "Dart", 54, 12, 4, 70
"c:\flutter-projects\cashenya_app\lib\main.dart", "Dart", 45, 0, 4, 49
"c:\flutter-projects\cashenya_app\lib\screens\history\bloc\history_bloc.dart", "Dart", 24, 0, 7, 31
"c:\flutter-projects\cashenya_app\lib\screens\history\bloc\history_event.dart", "Dart", 9, 0, 6, 15
"c:\flutter-projects\cashenya_app\lib\screens\history\bloc\history_state.dart", "Dart", 11, 0, 8, 19
"c:\flutter-projects\cashenya_app\lib\screens\history\ui\history_page.dart", "Dart", 520, 1, 27, 548
"c:\flutter-projects\cashenya_app\lib\screens\home\bloc\home_bloc.dart", "Dart", 36, 0, 8, 44
"c:\flutter-projects\cashenya_app\lib\screens\home\bloc\home_event.dart", "Dart", 7, 0, 6, 13
"c:\flutter-projects\cashenya_app\lib\screens\home\bloc\home_state.dart", "Dart", 12, 0, 11, 23
"c:\flutter-projects\cashenya_app\lib\screens\home\cubit\amount_input_cubit.dart", "Dart", 29, 0, 10, 39
"c:\flutter-projects\cashenya_app\lib\screens\home\cubit\amount_input_state.dart", "Dart", 45, 0, 12, 57
"c:\flutter-projects\cashenya_app\lib\screens\home\ui\amount_input_widget.dart", "Dart", 23, 1, 3, 27
"c:\flutter-projects\cashenya_app\lib\screens\home\ui\home_page.dart", "Dart", 254, 0, 14, 268
"c:\flutter-projects\cashenya_app\lib\screens\home\ui\numpad_widget.dart", "Dart", 148, 0, 5, 153
"c:\flutter-projects\cashenya_app\lib\screens\settings\bloc\settings_bloc.dart", "Dart", 10, 1, 3, 14
"c:\flutter-projects\cashenya_app\lib\screens\settings\bloc\settings_event.dart", "Dart", 3, 0, 2, 5
"c:\flutter-projects\cashenya_app\lib\screens\settings\bloc\settings_state.dart", "Dart", 4, 0, 3, 7
"c:\flutter-projects\cashenya_app\lib\themes.dart", "Dart", 85, 0, 4, 89
"Total", "-", 1428, 110, 165, 1703